rpm,speed,temp,load,voltage,map,maf,intake_temp,throttle,fuel_trim_short,fuel_trim_long
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
0,0,85,0,12.5,30,0,35,0,0,0
