mode,threshold,k_consecutive,cooldown_sec,alarms_per_hour,sample_f1,window_f1,event_hit_rate,ttd_mean_sec
HYBRID,0.745981,1,30,5.1611294645639845,0.6,0.3023255813953488,1.0,0.0
HYBRID,0.745981,1,60,2.917160132144861,0.6,0.3023255813953488,1.0,0.0
HYBRID,0.745981,1,120,2.0195723991772114,0.6,0.3023255813953488,1.0,0.0
HYBRID,0.745981,2,30,3.141557065386773,0.631578947368421,0.3023255813953488,1.0,98.18333333333332
HYBRID,0.745981,2,60,2.2439693324191237,0.631578947368421,0.3023255813953488,1.0,98.18333333333332
HYBRID,0.745981,2,120,1.6455775104406907,0.631578947368421,0.3023255813953488,1.0,98.18333333333332
HYBRID,0.745981,3,30,1.6455775104406907,0.4444444444444444,0.3023255813953488,0.3333333333333333,0.9000000000000057
HYBRID,0.745981,3,60,0.8975877329676495,0.4444444444444444,0.3023255813953488,0.3333333333333333,0.9000000000000057
HYBRID,0.745981,3,120,0.5235928442311288,0.4444444444444444,0.3023255813953488,0.3333333333333333,0.9000000000000057
HYBRID,0.795981,1,30,4.562737642585551,0.6,0.3037974683544304,1.0,2.1666666666666665
HYBRID,0.795981,1,60,2.8423611543975564,0.6,0.3037974683544304,1.0,2.1666666666666665
HYBRID,0.795981,1,120,2.0195723991772114,0.6,0.3037974683544304,1.0,2.1666666666666665
HYBRID,0.795981,2,30,2.393567287913732,0.625,0.3037974683544304,0.8333333333333334,115.21999999999998
HYBRID,0.795981,2,60,1.7203764881879948,0.625,0.3037974683544304,0.8333333333333334,115.21999999999998
HYBRID,0.795981,2,120,1.2715826217041701,0.625,0.3037974683544304,0.8333333333333334,115.21999999999998
HYBRID,0.795981,3,30,1.196783643956866,0.4444444444444444,0.3037974683544304,0.3333333333333333,0.9000000000000057
HYBRID,0.795981,3,60,0.673190799725737,0.4444444444444444,0.3037974683544304,0.3333333333333333,0.9000000000000057
HYBRID,0.795981,3,120,0.44879386648382474,0.4444444444444444,0.3037974683544304,0.3333333333333333,0.9000000000000057
HYBRID,0.845981,1,30,4.188742753849031,0.6,0.2933333333333334,1.0,92.59999999999998
HYBRID,0.845981,1,60,2.692763198902948,0.6,0.2933333333333334,1.0,92.59999999999998
HYBRID,0.845981,1,120,1.944773421429907,0.6,0.2933333333333334,1.0,92.59999999999998
HYBRID,0.845981,2,30,2.1691703546718193,0.6666666666666667,0.2933333333333334,0.8333333333333334,115.21999999999998
HYBRID,0.845981,2,60,1.4959795549460824,0.6666666666666667,0.2933333333333334,0.8333333333333334,115.21999999999998
HYBRID,0.845981,2,120,1.1219846662095618,0.6666666666666667,0.2933333333333334,0.8333333333333334,115.21999999999998
HYBRID,0.845981,3,30,1.1219846662095618,0.4444444444444444,0.2933333333333334,0.3333333333333333,0.9000000000000057
HYBRID,0.845981,3,60,0.673190799725737,0.4444444444444444,0.2933333333333334,0.3333333333333333,0.9000000000000057
HYBRID,0.845981,3,120,0.44879386648382474,0.4444444444444444,0.2933333333333334,0.3333333333333333,0.9000000000000057
IF_ONLY,0.745981,1,30,6.208315153026242,0.5,0.04597701149425287,0.8333333333333334,1017.9
IF_ONLY,0.745981,1,60,3.3659539986286853,0.5,0.04597701149425287,0.8333333333333334,1017.9
IF_ONLY,0.745981,1,120,2.2439693324191237,0.5,0.04597701149425287,0.8333333333333334,1017.9
IF_ONLY,0.745981,2,30,4.338340709343639,0.5,0.04597701149425287,0.8333333333333334,1035.9
IF_ONLY,0.745981,2,60,2.8423611543975564,0.5,0.04597701149425287,0.8333333333333334,1035.9
IF_ONLY,0.745981,2,120,2.1691703546718193,0.5,0.04597701149425287,0.8333333333333334,1035.9
IF_ONLY,0.745981,3,30,2.468366265661036,0.4615384615384615,0.04597701149425287,0.5,495.8999999999999
IF_ONLY,0.745981,3,60,1.4959795549460824,0.4615384615384615,0.04597701149425287,0.5,495.8999999999999
IF_ONLY,0.745981,3,120,1.0471856884622577,0.4615384615384615,0.04597701149425287,0.5,495.8999999999999
IF_ONLY,0.795981,1,30,6.208315153026242,0.5,0.04597701149425287,0.8333333333333334,1017.9
IF_ONLY,0.795981,1,60,3.3659539986286853,0.5,0.04597701149425287,0.8333333333333334,1017.9
IF_ONLY,0.795981,1,120,2.2439693324191237,0.5,0.04597701149425287,0.8333333333333334,1017.9
IF_ONLY,0.795981,2,30,4.338340709343639,0.5,0.04597701149425287,0.8333333333333334,1035.9
IF_ONLY,0.795981,2,60,2.8423611543975564,0.5,0.04597701149425287,0.8333333333333334,1035.9
IF_ONLY,0.795981,2,120,2.1691703546718193,0.5,0.04597701149425287,0.8333333333333334,1035.9
IF_ONLY,0.795981,3,30,2.468366265661036,0.4615384615384615,0.04597701149425287,0.5,495.8999999999999
IF_ONLY,0.795981,3,60,1.4959795549460824,0.4615384615384615,0.04597701149425287,0.5,495.8999999999999
IF_ONLY,0.795981,3,120,1.0471856884622577,0.4615384615384615,0.04597701149425287,0.5,495.8999999999999
IF_ONLY,0.845981,1,30,5.9839182197843295,0.5,0.04705882352941177,0.8333333333333334,1017.9
IF_ONLY,0.845981,1,60,3.216356043134077,0.5,0.04705882352941177,0.8333333333333334,1017.9
IF_ONLY,0.845981,1,120,2.1691703546718193,0.5,0.04705882352941177,0.8333333333333334,1017.9
IF_ONLY,0.845981,2,30,4.113943776101727,0.4444444444444444,0.04705882352941177,0.6666666666666666,356.92499999999995
IF_ONLY,0.845981,2,60,2.7675621766502525,0.4444444444444444,0.04705882352941177,0.6666666666666666,356.92499999999995
IF_ONLY,0.845981,2,120,2.0943713769245154,0.4444444444444444,0.04705882352941177,0.6666666666666666,356.92499999999995
IF_ONLY,0.845981,3,30,2.3187683101664276,0.4615384615384615,0.04705882352941177,0.5,495.8999999999999
IF_ONLY,0.845981,3,60,1.346381599451474,0.4615384615384615,0.04705882352941177,0.5,495.8999999999999
IF_ONLY,0.845981,3,120,0.9723867107149535,0.4615384615384615,0.04705882352941177,0.5,495.8999999999999
AE_ONLY,0.745981,1,30,5.235928442311288,0.5714285714285715,0.3023255813953488,1.0,0.0
AE_ONLY,0.745981,1,60,2.9919591098921647,0.5714285714285715,0.3023255813953488,1.0,0.0
AE_ONLY,0.745981,1,120,2.0943713769245154,0.5714285714285715,0.3023255813953488,1.0,0.0
AE_ONLY,0.745981,2,30,3.141557065386773,0.631578947368421,0.3023255813953488,1.0,98.18333333333332
AE_ONLY,0.745981,2,60,2.2439693324191237,0.631578947368421,0.3023255813953488,1.0,98.18333333333332
AE_ONLY,0.745981,2,120,1.6455775104406907,0.631578947368421,0.3023255813953488,1.0,98.18333333333332
AE_ONLY,0.745981,3,30,1.6455775104406907,0.4444444444444444,0.3023255813953488,0.3333333333333333,0.9000000000000057
AE_ONLY,0.745981,3,60,0.8975877329676495,0.4444444444444444,0.3023255813953488,0.3333333333333333,0.9000000000000057
AE_ONLY,0.745981,3,120,0.5235928442311288,0.4444444444444444,0.3023255813953488,0.3333333333333333,0.9000000000000057
AE_ONLY,0.795981,1,30,4.637536620332855,0.5714285714285715,0.325,1.0,0.0
AE_ONLY,0.795981,1,60,2.917160132144861,0.5714285714285715,0.325,1.0,0.0
AE_ONLY,0.795981,1,120,2.0943713769245154,0.5714285714285715,0.325,1.0,0.0
AE_ONLY,0.795981,2,30,2.393567287913732,0.7058823529411764,0.325,1.0,98.18333333333332
AE_ONLY,0.795981,2,60,1.7203764881879948,0.7058823529411764,0.325,1.0,98.18333333333332
AE_ONLY,0.795981,2,120,1.2715826217041701,0.7058823529411764,0.325,1.0,98.18333333333332
AE_ONLY,0.795981,3,30,1.196783643956866,0.4444444444444444,0.325,0.3333333333333333,0.9000000000000057
AE_ONLY,0.795981,3,60,0.673190799725737,0.4444444444444444,0.325,0.3333333333333333,0.9000000000000057
AE_ONLY,0.795981,3,120,0.44879386648382474,0.4444444444444444,0.325,0.3333333333333333,0.9000000000000057
AE_ONLY,0.845981,1,30,4.263541731596335,0.5714285714285715,0.2933333333333334,1.0,92.59999999999998
AE_ONLY,0.845981,1,60,2.7675621766502525,0.5714285714285715,0.2933333333333334,1.0,92.59999999999998
AE_ONLY,0.845981,1,120,2.0195723991772114,0.5714285714285715,0.2933333333333334,1.0,92.59999999999998
AE_ONLY,0.845981,2,30,2.1691703546718193,0.6666666666666667,0.2933333333333334,0.8333333333333334,115.21999999999998
AE_ONLY,0.845981,2,60,1.4959795549460824,0.6666666666666667,0.2933333333333334,0.8333333333333334,115.21999999999998
AE_ONLY,0.845981,2,120,1.1219846662095618,0.6666666666666667,0.2933333333333334,0.8333333333333334,115.21999999999998
AE_ONLY,0.845981,3,30,1.1219846662095618,0.4444444444444444,0.2933333333333334,0.3333333333333333,0.9000000000000057
AE_ONLY,0.845981,3,60,0.673190799725737,0.4444444444444444,0.2933333333333334,0.3333333333333333,0.9000000000000057
AE_ONLY,0.845981,3,120,0.44879386648382474,0.4444444444444444,0.2933333333333334,0.3333333333333333,0.9000000000000057
